ver=V2.1B
Recint=10
Mem 4000, 0, 385
Memi 4249, 60, 445
Start 4201, 149791596
Finish 4202, 149795444
MaxD 4203, 29.36
Status 4204, 0
OTU 4205, 80
Descend prob 4206, 66
Gas 4210, 79, 0, 660, 1
Gas 4211, 1, 0, 60, 0
Gas 4212, 20, 0, 100, 0
Gas 4213, 68, 0, 400, 0
Gas 4214, 64, 0, 340, 0
Gas 4215, 60, 0, 300, 0
Gas 4216, 50, 0, 220, 0
Gas 4217, 47, 35, 780, 0
Gas 4218, 36, 50, 1040, 0
Gas 4219, 29, 60, 1350, 0
Tissue 4220, 103, 0
Tissue 4221, 142, 0
Tissue 4222, 161, 0
Tissue 4223, 169, 0
Tissue 4224, 167, 0
Tissue 4225, 158, 0
Tissue 4226, 146, 0
Tissue 4227, 133, 0
Tissue 4228, 121, 0
Tissue 4229, 112, 0
Tissue 4230, 106, 0
Tissue 4231, 100, 0
Tissue 4232, 96, 0
Tissue 4233, 92, 0
Tissue 4234, 90, 0
Tissue 4235, 87, 0
Profile
R0000,0017,0000,0067,M0000,T0019,A17030,B17030,C17030,D17030,E17030,F17030,G17030,H17030
R0001,0030,0000,0064,M0000,T0019,A17032,B17024,C17032,D17024,E17032,F17024,G17032,H17024
R0002,0048,0000,0070,M0000,T0019,A17038,B17036,C17038,D17036,E17038,F17036,G17038,H17036
R0003,0068,0000,0075,M0000,T0019,A17048,B17046,C17048,D17046,E17048,F17046,G17048,H17046
R0004,0083,0000,0076,M0000,T0019,A17052,B17048,C17052,D17048,E17052,F17048,G17052,H17048
R0005,0103,0000,0076,M0000,T0019,A17054,B17050,C17054,D17050,E17054,F17050,G17054,H17050
R0006,0125,0000,0082,M0000,T0019,A17060,B17060,C17060,D17060,E17060,F17060,G17060,H17060
R0007,0134,0000,0085,M0000,T0019,A17068,B17068,C17068,D17068,E17068,F17068,G17068,H17068
R0008,0146,0000,0082,M0000,T0019,A17062,B17062,C17062,D17062,E17062,F17062,G17062,H17062
R0009,0166,0000,0086,M0000,T0019,A17070,B17068,C17070,D17068,E17070,F17068,G17070,H17068
R0010,0179,0000,0086,M0000,T0019,A17070,B17070,C17070,D17070,E17070,F17070,G17070,H17070
R0011,0189,0000,0089,M0000,T0019,A17074,B17074,C17074,D17074,E17074,F17074,G17074,H17074
R0012,0214,0000,0091,M0000,T0019,A17080,B17080,C17080,D17080,E17080,F17080,G17080,H17080
R0013,0238,0000,0096,M0000,T0019,A17090,B17090,C17090,D17090,E17090,F17090,G17090,H17090
R0014,0257,0000,0100,M0000,T0019,A17098,B17096,C17098,D17096,E17098,F17096,G17098,H17096
R0015,0258,0000,0097,M0000,T0019,A17092,B17092,C17092,D17092,E17092,F17092,G17092,H17092
R0016,0265,0000,0097,M0000,T0019,A17092,B17092,C17092,D17092,E17092,F17092,G17092,H17092
R0017,0274,0000,0097,M0000,T0019,A17092,B17092,C17092,D17092,E17092,F17092,G17092,H17092
R0018,0286,0000,0099,M0000,T0019,A17094,B17094,C17094,D17094,E17094,F17094,G17094,H17094
R0019,0297,0000,0100,M0000,T0019,A17098,B17098,C17098,D17098,E17098,F17098,G17098,H17098
R0020,0304,0000,0101,M0000,T0019,A17098,B17098,C17098,D17098,E17098,F17098,G17098,H17098
R0021,0312,0000,0101,M0000,T0020,A17098,B17100,C17098,D17100,E17098,F17100,G17098,H17100
R0022,0312,0000,0098,M0000,T0020,A17094,B17094,C17094,D17094,E17094,F17094,G17094,H17094
R0023,0312,0000,0096,M0000,T0020,A17090,B17090,C17090,D17090,E17090,F17090,G17090,H17090
R0024,0312,0000,0096,M0000,T0020,A17088,B17088,C17088,D17088,E17088,F17088,G17088,H17088
R0025,0311,0000,0094,M0000,T0020,A17086,B17086,C17086,D17086,E17086,F17086,G17086,H17086
R0026,0311,0000,0093,M0000,T0020,A17084,B17084,C17084,D17084,E17084,F17084,G17084,H17084
R0027,0311,0000,0093,M0000,T0020,A17082,B17084,C17082,D17084,E17082,F17084,G17082,H17084
R0028,0312,0000,0093,M0000,T0020,A17082,B17082,C17082,D17082,E17082,F17082,G17082,H17082
R0029,0312,0000,0092,M0000,T0020,A17082,B17082,C17082,D17082,E17082,F17082,G17082,H17082
R0030,0312,0000,0091,M0000,T0020,A17080,B17080,C17080,D17080,E17080,F17080,G17080,H17080
R0031,0312,0000,0092,M0000,T0020,A17080,B17080,C17080,D17080,E17080,F17080,G17080,H17080
R0032,0312,0000,0110,M0000,T0020,A17114,B17118,C17114,D17118,E17114,F17118,G17114,H17118
R0033,0312,0000,0118,M0000,T0020,A17132,B17134,C17132,D17134,E17132,F17134,G17132,H17134
R0034,0312,0000,0110,M0000,T0020,A17122,B17116,C17122,D17116,E17122,F17116,G17122,H17116
R0035,0312,0000,0106,M0000,T0020,A17110,B17108,C17110,D17108,E17110,F17108,G17110,H17108
R0036,0312,0000,0113,M0000,T0020,A17120,B17124,C17120,D17124,E17120,F17124,G17120,H17124
R0037,0312,0000,0120,M0000,T0020,A17134,B17138,C17134,D17138,E17134,F17138,G17134,H17138
R0038,0312,0000,0119,M0000,T0020,A17136,B17136,C17136,D17136,E17136,F17136,G17136,H17136
R0039,0312,0000,0116,M0000,T0020,A17130,B17128,C17130,D17128,E17130,F17128,G17130,H17128
R0040,0312,0000,0116,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0041,0312,0000,0117,M0000,T0020,A17130,B17130,C17130,D17130,E17130,F17130,G17130,H17130
R0042,0312,0000,0118,M0000,T0020,A17132,B17132,C17132,D17132,E17132,F17132,G17132,H17132
R0043,0309,0000,0117,M0000,T0020,A17132,B17132,C17132,D17132,E17132,F17132,G17132,H17132
R0044,0313,0000,0116,M0000,T0020,A17130,B17130,C17130,D17130,E17130,F17130,G17130,H17130
R0045,0312,0000,0116,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0046,0312,0000,0116,M0000,T0020,A17128,B17130,C17128,D17130,E17128,F17130,G17128,H17130
R0047,0312,0000,0118,M0000,T0020,A17132,B17134,C17132,D17134,E17132,F17134,G17132,H17134
R0048,0312,0000,0116,M0000,T0020,A17130,B17130,C17130,D17130,E17130,F17130,G17130,H17130
R0049,0312,0000,0115,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0050,0312,0000,0115,M0000,T0020,A17126,B17128,C17126,D17128,E17126,F17128,G17126,H17128
R0051,0312,0000,0115,M0000,T0020,A17126,B17128,C17126,D17128,E17126,F17128,G17126,H17128
R0052,0312,0000,0115,M0000,T0020,A17126,B17126,C17126,D17126,E17126,F17126,G17126,H17126
R0053,0312,0000,0114,M0000,T0020,A17126,B17126,C17126,D17126,E17126,F17126,G17126,H17126
R0054,0312,0000,0118,M0000,T0020,A17130,B17132,C17130,D17132,E17130,F17132,G17130,H17132
R0055,0312,0000,0117,M0000,T0020,A17132,B17132,C17132,D17132,E17132,F17132,G17132,H17132
R0056,0312,0000,0115,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0057,0311,0000,0114,M0000,T0020,A17126,B17126,C17126,D17126,E17126,F17126,G17126,H17126
R0058,0312,0000,0115,M0000,T0020,A17126,B17128,C17126,D17128,E17126,F17128,G17126,H17128
R0059,0312,0000,0116,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0060,0312,0000,0116,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0061,0312,0000,0115,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0062,0312,0000,0115,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0063,0312,0000,0115,M0000,T0020,A17126,B17126,C17126,D17126,E17126,F17126,G17126,H17126
R0064,0302,0000,0112,M0000,T0020,A17120,B17122,C17120,D17122,E17120,F17122,G17120,H17122
R0065,0301,0000,0111,M0000,T0020,A17120,B17120,C17120,D17120,E17120,F17120,G17120,H17120
R0066,0300,0000,0114,M0000,T0020,A17122,B17126,C17122,D17126,E17122,F17126,G17122,H17126
R0067,0305,0000,0125,M0000,T0020,A17144,B17146,C17144,D17146,E17144,F17146,G17144,H17146
R0068,0303,0000,0123,M0000,T0020,A17146,B17144,C17146,D17144,E17146,F17144,G17146,H17144
R0069,0304,0000,0118,M0000,T0020,A17136,B17134,C17136,D17134,E17136,F17134,G17136,H17134
R0070,0303,0000,0115,M0000,T0021,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0071,0300,0000,0116,M0000,T0020,A17128,B17128,C17128,D17128,E17128,F17128,G17128,H17128
R0072,0294,0000,0114,M0000,T0020,A17126,B17126,C17126,D17126,E17126,F17126,G17126,H17126
R0073,0290,0000,0112,M0000,T0021,A17122,B17122,C17122,D17122,E17122,F17122,G17122,H17122
R0074,0289,0000,0110,M0000,T0021,A17118,B17118,C17118,D17118,E17118,F17118,G17118,H17118
R0075,0287,0000,0116,M0000,T0021,A17126,B17128,C17126,D17128,E17126,F17128,G17126,H17128
