DO NOT DIVE USING THESE TABLES. BETA SOFTWARE TESTING ONLY
Dive Plan list as on : 22/Jun/2022

Plan No.,Plan Date,Max Depth,Bottom mins,EGF,PPO2,Open/Closed,O2,Helium,
SP00000002,11/Jan/2007,70m   ,25mins,,1.30   , Closed Circuit,15   ,45   ,
SP00000001,25/Jan/2007,92m   ,42mins,,1.53   , Open Circuit,15   ,45   ,
SP00000004,10/Sep/2007,57m   ,25mins,,0.85   , Closed Circuit,11   ,60   ,
SP00000003,07/Nov/2007,62m   ,30mins,,1.30   , Closed Circuit,12   ,60   ,
SP00000005,29/Mar/2008,80m   ,30mins,,1.35   , Open Circuit,15   ,45   ,
SP00000006,29/May/2008,50m   ,50mins,,1.20   , Closed Circuit,15   ,45   ,
SP00000007,26/Sep/2008,80m   ,30mins,,1.35   , Open Circuit,15   ,45   ,
SP00000008,27/Sep/2008,80m   ,30mins,,1.62   , Open Circuit,18   ,35   ,
SP00000009,28/Sep/2008,30m   ,15mins,,0.84   , Open Circuit,21   ,0   ,
SP00000011,30/Sep/2008,51m   ,60mins,,1.28   , Open Circuit,21   ,0   ,
SP00000014,01/Oct/2008,10m   ,10mins,,0.42   , Open Circuit,21   ,0   ,
SP00000012,01/Oct/2008,10m   ,10mins,,0.42   , Open Circuit,21   ,0   ,
SP00000017,08/Oct/2008,74m   ,10mins,
39/90,1.35   , Closed Circuit,15   ,45   ,
SP00000013,08/Oct/2008,55m   ,50mins,
16/83,1.30   , Closed Circuit,20   ,32   ,
SP00000010,08/Oct/2008,82m   ,30mins,
20/95,1.38   , Open Circuit,15   ,45   ,
SP00000020,08/Oct/2008,54m   ,50mins,
6/81,1.34   , Open Circuit,21   ,0   ,
SP00000021,08/Oct/2008,50m   ,100mins,
8/78,1.26   , Open Circuit,21   ,0   ,
SP00000016,08/Oct/2008,94m   ,22mins,
10/92,1.30   , Closed Circuit,11   ,68   ,
SP00000023,08/Oct/2008,10m   ,10mins,,0.42   , Open Circuit,21   ,0   ,
SP00000024,08/Oct/2008,73m   ,60mins,
13/85,1.49   , Open Circuit,18   ,50   ,
SP00000025,08/Oct/2008,50m   ,40mins,
35/84,1.26   , Closed Circuit,21   ,0   ,
SP00000026,14/Oct/2008,58m   ,35mins,
40/91,1.30   , Closed Circuit,15   ,29   ,
SP00000027,10/Jun/2009,80m   ,30mins,
23/96,1.30   , Closed Circuit,12   ,45   ,
SP00000028,19/Aug/2009,55m   ,30mins,
56/93,1.37   , Open Circuit,21   ,0   ,
SP00000018,10/Dec/2009,30m   ,17mins,
100/100,0.84   , Open Circuit,21   ,0   ,
SP00000029,19/Jul/2010,50m   ,4mins,,1.26   , Open Circuit,21   ,0   ,
SP00000019,28/Jul/2010,50m   ,50mins,
23/83,0.90   , Open Circuit,15   ,45   ,
SP00000030,28/Jul/2010,50m   ,10mins,
23/83,1.26   , Open Circuit,21   ,0   ,
SP00000031,02/Aug/2010,50m   ,33mins,
51/87,1.26   , Open Circuit,21   ,0   ,
SP00000032,12/Aug/2010,30m   ,10mins,
0/83,0.84   , Open Circuit,21   ,0   ,
SP00000022,14/Aug/2010,50m   ,13mins,
69/88,1.26   , Open Circuit,21   ,0   ,
